id,title,description,price,num_rooms,num_bedrooms,num_bathrooms,sq_m,address,city,year_built,property_type,features
59,Contemporary House in Salt Lake City,"This 4-bedroom, 2-bathroom house in Salt Lake City offers approximately 284 square meters of living space. It features deck, garage, fireplace, and is perfect for those seeking comfort and convenience. Located in a desirable area of Salt Lake City, it combines style and practicality for modern living.",1304918.13,9,4,2,284,5112 Oak Ave,Salt Lake City,2017,house,"deck, garage, fireplace, near park"
60,Cozy Apartment in Madison,"This 4-bedroom, 1-bathroom apartment in Madison offers approximately 155 square meters of living space. It features garage, near park, community pool, and is perfect for those seeking comfort and convenience. Located in a desirable area of Madison, it combines style and practicality for modern living.",1173948.88,8,4,1,155,8441 Main St,Madison,1971,apartment,"garage, near park, community pool, energy-efficient appliances, EV charger, gym"
61,Classic House in Portland,"This 1-bedroom, 3-bathroom house in Portland offers approximately 345 square meters of living space. It features fireplace, EV charger, balcony, and is perfect for those seeking comfort and convenience. Located in a desirable area of Portland, it combines style and practicality for modern living.",1186904.53,6,1,3,345,3766 Oak Ave,Portland,1976,house,"fireplace, EV charger, balcony, gym, garden"
62,Modern House in San Diego,"This 1-bedroom, 1-bathroom house in San Diego offers approximately 151 square meters of living space. It features EV charger, air conditioning, garage, and is perfect for those seeking comfort and convenience. Located in a desirable area of San Diego, it combines style and practicality for modern living.",479264.3,4,1,1,151,8586 Oak Ave,San Diego,2003,house,"EV charger, air conditioning, garage, deck, pool access"
63,Spacious House in New York,"This 5-bedroom, 2-bathroom house in New York offers approximately 141 square meters of living space. It features community pool, pool access, hardwood floors, and is perfect for those seeking comfort and convenience. Located in a desirable area of New York, it combines style and practicality for modern living.",1331523.61,10,5,2,141,7720 Oak Ave,New York,2013,house,"community pool, pool access, hardwood floors, balcony"
64,Classic Townhouse in Philadelphia,"This 1-bedroom, 3-bathroom townhouse in Philadelphia offers approximately 143 square meters of living space. It features pool access, rooftop terrace, deck, and is perfect for those seeking comfort and convenience. Located in a desirable area of Philadelphia, it combines style and practicality for modern living.",707367.98,7,1,3,143,2107 Pine Rd,Philadelphia,1987,townhouse,"pool access, rooftop terrace, deck, hardwood floors, fireplace"
65,Spacious Townhouse in Denver,"This 4-bedroom, 1-bathroom townhouse in Denver offers approximately 270 square meters of living space. It features pool access, air conditioning, furnished, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",1402937.87,7,4,1,270,6724 Cedar Ln,Denver,1982,townhouse,"pool access, air conditioning, furnished, near park"
66,Bright House in Chicago,"This 1-bedroom, 2-bathroom house in Chicago offers approximately 59 square meters of living space. It features pool access, near subway, home office, and is perfect for those seeking comfort and convenience. Located in a desirable area of Chicago, it combines style and practicality for modern living.",1363075.35,4,1,2,59,6519 Cedar Ln,Chicago,2007,house,"pool access, near subway, home office"
67,Elegant Townhouse in Austin,"This 1-bedroom, 2-bathroom townhouse in Austin offers approximately 256 square meters of living space. It features pet-friendly, gym, garden, and is perfect for those seeking comfort and convenience. Located in a desirable area of Austin, it combines style and practicality for modern living.",870293.89,5,1,2,256,1471 Pine Rd,Austin,1993,townhouse,"pet-friendly, gym, garden"
68,Stylish House in New York,"This 1-bedroom, 3-bathroom house in New York offers approximately 163 square meters of living space. It features deck, garden, garage, and is perfect for those seeking comfort and convenience. Located in a desirable area of New York, it combines style and practicality for modern living.",1053291.5,6,1,3,163,1300 Pine Rd,New York,1989,house,"deck, garden, garage, pet-friendly, EV charger"
69,Modern House in Dallas,"This 3-bedroom, 2-bathroom house in Dallas offers approximately 72 square meters of living space. It features solar panels, energy-efficient appliances, pool access, and is perfect for those seeking comfort and convenience. Located in a desirable area of Dallas, it combines style and practicality for modern living.",743636.01,8,3,2,72,1292 Pine Rd,Dallas,2011,house,"solar panels, energy-efficient appliances, pool access, garage, EV charger, community pool"
70,Contemporary Townhouse in Salt Lake City,"This 3-bedroom, 3-bathroom townhouse in Salt Lake City offers approximately 310 square meters of living space. It features hardwood floors, garage, near park, and is perfect for those seeking comfort and convenience. Located in a desirable area of Salt Lake City, it combines style and practicality for modern living.",440939.17,8,3,3,310,3717 Main St,Salt Lake City,2010,townhouse,"hardwood floors, garage, near park, community pool"
71,Cozy House in Los Angeles,"This 4-bedroom, 2-bathroom house in Los Angeles offers approximately 60 square meters of living space. It features balcony, smart home system, furnished, and is perfect for those seeking comfort and convenience. Located in a desirable area of Los Angeles, it combines style and practicality for modern living.",848833.71,7,4,2,60,1468 Oak Ave,Los Angeles,2007,house,"balcony, smart home system, furnished, air conditioning, EV charger"
72,Modern Townhouse in Los Angeles,"This 3-bedroom, 1-bathroom townhouse in Los Angeles offers approximately 221 square meters of living space. It features fireplace, near park, home office, and is perfect for those seeking comfort and convenience. Located in a desirable area of Los Angeles, it combines style and practicality for modern living.",442581.8,5,3,1,221,9428 Cedar Ln,Los Angeles,2019,townhouse,"fireplace, near park, home office"
73,Contemporary Apartment in Raleigh,"This 1-bedroom, 3-bathroom apartment in Raleigh offers approximately 328 square meters of living space. It features solar panels, furnished, community pool, and is perfect for those seeking comfort and convenience. Located in a desirable area of Raleigh, it combines style and practicality for modern living.",995718.57,5,1,3,328,896 Oak Ave,Raleigh,2006,apartment,"solar panels, furnished, community pool, near park"
74,Contemporary Apartment in Minneapolis,"This 3-bedroom, 2-bathroom apartment in Minneapolis offers approximately 202 square meters of living space. It features furnished, energy-efficient appliances, hardwood floors, and is perfect for those seeking comfort and convenience. Located in a desirable area of Minneapolis, it combines style and practicality for modern living.",1002349.96,8,3,2,202,7939 Cedar Ln,Minneapolis,1997,apartment,"furnished, energy-efficient appliances, hardwood floors"
75,Luxury Apartment in Salt Lake City,"This 4-bedroom, 3-bathroom apartment in Salt Lake City offers approximately 328 square meters of living space. It features solar panels, furnished, deck, and is perfect for those seeking comfort and convenience. Located in a desirable area of Salt Lake City, it combines style and practicality for modern living.",1227709.51,8,4,3,328,3374 Cedar Ln,Salt Lake City,1971,apartment,"solar panels, furnished, deck, smart home system, garage, fireplace"
76,Contemporary House in Detroit,"This 5-bedroom, 3-bathroom house in Detroit offers approximately 206 square meters of living space. It features fireplace, smart home system, furnished, and is perfect for those seeking comfort and convenience. Located in a desirable area of Detroit, it combines style and practicality for modern living.",419119.41,9,5,3,206,4149 Oak Ave,Detroit,1987,house,"fireplace, smart home system, furnished, pool access"
77,Renovated House in Salt Lake City,"This 1-bedroom, 2-bathroom house in Salt Lake City offers approximately 107 square meters of living space. It features balcony, garage, community pool, and is perfect for those seeking comfort and convenience. Located in a desirable area of Salt Lake City, it combines style and practicality for modern living.",290227.84,6,1,2,107,11 Cedar Ln,Salt Lake City,2005,house,"balcony, garage, community pool"
78,Renovated Townhouse in Denver,"This 5-bedroom, 3-bathroom townhouse in Denver offers approximately 136 square meters of living space. It features deck, garden, energy-efficient appliances, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",1463633.56,11,5,3,136,9768 Pine Rd,Denver,1976,townhouse,"deck, garden, energy-efficient appliances, near park, garage"
